Chat Search Objects,percent_of_total_entries,num_diary_entries,num_participants
A URL link,6.7114093959731544,20,9
A document,12.080536912751679,36,11
Audio recordings,0.33557046979865773,1,1
"Multimedia (e.g. images, videos).",4.697986577181208,14,7
Names of people or channels/groups mentioned in the chat.,10.06711409395973,30,9
"Nothing relevant. Then searched for meeting name, dropped date",0.33557046979865773,1,1
Specific keywords or phrases mentioned in the chat.,7.38255033557047,22,10
Start new chat thread,0.33557046979865773,1,1
Text messages.,24.161073825503358,72,16
Thread of conversation,33.557046979865774,100,15
profile,0.33557046979865773,1,1
