Search Intent,percent_of_total_entries,num_search_intents,num_participants
Assigned tasks to members,8.724832214765101,26,11
"Entities (e.g. People, Brands, places, Movies)",15.771812080536913,47,14
Question-answering,3.691275167785235,11,5
Refresh memory about what was said/discussed,36.241610738255034,108,17
Resources,27.181208053691275,81,14
Searching contact details,0.33557046979865773,1,1
To watch the recording,0.33557046979865773,1,1
Web Link,0.33557046979865773,1,1
Work / Social announcements,7.046979865771812,21,10
code,0.33557046979865773,1,1
